Key,Value
Só:,
Diên thoai cô dinh:,
ĐKDN/DKKD/QDTL:,
[Tên Chi nhánh/VPDD]³:,
Công ty TNHH,
Chi nhánh,
Lînh vuc hoat dông kinh doanh:,
Só hô SO (CIF) nêu có:,
Tên viêt tat: [Tên Khách hàng]⁶,
Swift:,VPBKVNVX
Tên tiêng nuóc ngoài: [Tên Khách hàng]⁴,
thué:,
Dia chi giao dich:,
DT:,(84.4) 39288869
Trên 300 400,
Tên tiêng Viêt: [Tên Khách hàng]²,
Trên 10 20,
ngày dăng ký /thành lâp:,
[Tên Chi nhánh/VPDD]⁵:,
Fax:,(84.4) 39288867
Trên 100 200,
Cu trú,
Khác:,
Công ty Hop danh,
Công ty Co phân,
Website:,
Diên thoai di dông:,
Fax:,
Trên 30 50,
Không cu trú,
[Tên Chi nhánh/VPD]:⁷,
Doanh nghiep Nhà nuóc,
Dia chi tru so chính:,
Noi câp:,
Email:,(su dung dê nhân các thông báo tù VPBank)
dang ký thay dôi lân,ngày
Quóc gia dang ký/thành lâp:,Mã
(WOS2) Khách hàng có ít nhât 20% dên duói 51% sô vôn góp/ cô phân so hûu boi phu nû và có ít nhât 01 phu nû là Giám dôc/Tông Giám dôc dong thòi có ít nhât 30% phu nû là thành viên trong Hôi dong Quan tri/ Hôi dong thành viên.,
Sô thi thuc:,
Fax:,
Trên 20 50,
Website:,
Quoc gia dăng ký/thành lâp:,
Ho và tên:,
Trên 50 100,
Chúc vu:,
ĐKDN/DKKD/QDTL:,
Trên 3 10,
< 03,
Noi câp:,
Không cu trú,
Ngày hêt han:,
Noi câp:,
Quoc tich:,
Diên thoai di dông:,
Mã sô thuê:,
Không cu trú,
Trên 50 100,
dăng ký thay dôi lân,
≤ 10,
Cu trú,
Dia chi giao dich:,
MOS Khách hàng không duoc so hûu boi phu nû,
Trên 100 200,
200,
Trên 200 300,
Trên 50 100,
Trên 3 20,
MÃU CHŪ KY 2,
Email :,
Dia chi thuòng trú/cu trú Ó nuóc ngoài:,
Sô CMND/HC/Thé CCCD:,
Cu trú,
(WOS1) Khách hàng có ít nhât 51% sô vôn góp/ cô phân so hûu boi phu nû,
Tù múc 10 nguòi trô xuong,
Diên thoai:,
400,
Nghê nghiep:,
Trên 20 30,
MÃU CHŪ KÝ 1,
Diên thoai cô dinh:,
ngày dăng ký /thành lâp,
100,
Noi O hiên tai/ dang ký cu trú tai VN:,
Ngày câp:,
Mã sô thuê:,
ngày,
Trên 10 nguòi,
Dia chi tru so chính:,
Trên 10 50,
Nam,
Nû,
Lînh vuc hoat dông kinh doanh:,
Noi cap:,
Email:,
Ngày sinh:,
Sô thi thuc:,
Dia chi thuong trú/cu trú O' nuóc ngoài:,
Chúc vu:,
Cu trú,
3.1,DAI DIEN THEO PHÁP LUÂT: Thông tin và mãu chû ký theo dăng ký nêu trên; và thuc hiên day du quyên cua Chu tài khoån
duói dây:,
Chúc vu:,
H₀ và tên:,
Email:,
Diên thoai:,
Quoc tich:,
cúa,
Nû,
Noi cap:,
Sô thi thuc:,
Noi cap:,
H₀ và tên:,
Nghê nghiep:,
Sô CMND/HC/Thé CCCD:,
MÃU CHŪ KY 1,
Nû,
Nam,
Nghê nghiep:,
"Là Giám dôc/Truong Chi nhánh/Văn phòng dai diên: - Thông tin và mau chû ký theo dăng ký nêu trên; và - Thuc hiên day du quyên cua Chu tài khoån - Pham vi dai diên, Thòi han úy quyèn:",
Không cu trú,
Email:,
Diên thoai:,
Ngày hêt han:,
Mã sô thuê:,
Sô CMND/HC/Thé CCCD:,
Sô CMND/HC/Thé CCCD:,
ngày,
Ngày sinh:,
MÃU CHŪ KY 2,
ngày,
Cu trú,
cua,
Noi Ó hiên tai/ dăng ký cu trú tai VN:,
Noi câp:,
NHÓM CHŪ KÝ THÚ NHAT,
Nam,
H₀ và tên:,
Ngày câp:,
Mã sô thuê:,
Dia chi thuong trú/cu trú O nuóc ngoài:,
Quoc tich:,
Ngày cap:,
Ngày hêt han:,
Ngày sinh:,
Nû,
Quoc tich:,
Nam,
Noi cap:,
Noi Ó hiên tai/ dang ký cu trú tai VN:,
Không cu trú,
Chúc vu:,
Nghê nghiep:,
duói dây:,
Ngày sinh:,
Chúng tôi lua chon phurong thúc uy quyên sô,
1.,"Theo uy quyên nhu nêu tai muc VIII, Giay dê nghi này."
MÃU CHŪ KÝ 1,
MÃU CHŪ KÝ 2,
1.,"Theo uy quyên nhu nêu tai muc VIII, Giay dê nghi này."
Quôc tich:,
H₀ và tên:,
MAU CHŪ KÝ 1,
Noi cap:,
Email:,
Ngày sinh:,
Nam,
Ngày sinh:,
Chúc vu:,
duói dây:,
Email:,
Mã sô thuê:,
Ngày câp:,
Noi O hiên tai/ dăng ký cu trú tai VN:,
MAU CHŪ KÝ 2,
Chúc vu:,
cúa,
Nû,
Dia chi thuong trú/cu trú O nuóc ngoài:,
Email:,
Mã sô thuê:,
Cu trú,
Nû,
Sô thi thuc:,
Quoc tich:,
Ngày hêt han:,
Nam/Nūr:,
Sô thi thuc:,
Ngày hêt han:,
Diên thoai:,
Ngày hêt han:,
Noi câp:,
cúa,
Noi Ó hiên tai/ dăng ký cu trú tai VN:,
Sô thi thuc:,
Nghê nghiep:,
ngày,
Nghê nghiep:,
Dia chi thuong trú/cu trú Ó nuóc ngoài:,
Nam,
Dia chi thuong trú/cu trú Ò nuóc ngoài:,
Cu trú,
Không cu trú,
Mã sô thuê:,
Diên thoai:,
Noi cap:,
MÃU CHŪ KÝ 2,
Diên thoai:,
Cu trú,
Sô CMND/HC/Thé CCCD:,
Ngày cap:,
MÃU CHŪ KÝ 2,
Ho và tên:,
Ho và tên:,
Noi cap:,
MÃU CHŪ KY 1,
Không cu trú,
Ngày cap:,
Không cu trú,
Noi cap:,
Sô CMND/HC/Thé CCCD:,
Noi cap:,
Noi O hiên tai/ dăng ký cu trú tai VN:,
ngày,
Chúng tôi lua chon phuong thúc uy quyên sô,duói dây:
Ngày sinh:,
1.,"Theo uy quyên nhu nêu tai muc VIII, Giay dê nghi này."
MÃU CHŪ KY 1,
1.,"Theo uy quyên nhu nêu tai muc VIII, Giay dè nghi này."
Noi Ó hiên tai/ dăng ký cu trú tai VN:,
Không cu trú,
cúa,
Noi cap:,
Quôc tich:,
"Qua thu diên tir, dia chi email:",
Ngày câp:,
"Qua fax, sô fax:",
Khác:,
Khác,
Cu trú,
Không,
Truc tiép tai VPBank⁸:,
1. Đang ký tên Tài khoån:,
Khác (xin nêu rõ):,
Có,
ngày,
Sô thi thuc:,
Chúc vu:,
Sô CMND/HC/Thé CCCD:,
Hàng ngày,
Nghê nghiep:,
Ngày hêt han:,
Noi cap:,
Có,
Hang tháng,
Diên thoai:,
Mã sô thuê:,
Dia chi thuong trú/cu trú Ó nuóc ngoài:,
"Qua buu diên, dia chi nhân:",
Không,
Hàng tuân,
duói dây:,
Chúng tôi lua chon phuong thúc uy quyên sô,
Theo Văn bån uy quyên sô,
Quy dinh khác (vui lòng ghi rõ):,
1.,"Theo uy quyên nhu nêu tai muc VIII, Giay dê nghi này."
"Không thuôc môt trong các truong hop trên dây, vui lòng diên và cung câp thông tin theo Mâu biêu W-8BEN-E W-8IMY W-8ECI | W-8EXP phù hop do IRS ban hành.",
Có. Khách hàng vui lòng cung câp:,
1. Mã sô thuê Hoa Ký cúa tô chúc¹⁰ (Mã sô TIN):,
"Có Cá nhân có quyên kiêm soát là nguòi Hoa Ký, vui lòng cung cap:",
Không,
Doanh nghiep/ tô chúc phi tài chính nuóc ngoài (ngoài Hoa Ký) chu dông¹².,
"Tô chúc tài chính, vui lòng cung câp thông tin theo Mâu biêu W-8BEN-E",
Tât cå các sô tài khoån có dăng ký sú dung Dich vu SMS Banking.,
Có,
Dia chi email nhân hóa don:,
"Qua Nguòi giao nhân hô SO theo dăng ký tai Muc IX, Giay dê nghi này.",
ĐTDĐ 1:,
ĐTDĐ 3:,
DTDD 2:,
Sô tài khoån: hoãc bât ky môt trong các sô tài khoån có dăng ký su dung Dich vu SMS Banking,
Không có Cá nhân có quyên kiêm soát hoãc có Cá nhân có quyên kiêm soát không phài là nguòi Hoa Ky.,
"Thanh toán, chuyen tiên, kinh doanh trong nuóc",
"Thanh toán, chuyen tiên, kinh doanh quôc tê",
"Su dung dich vu thu, chi hô",
Không,
Quan lý dòng tiên,
Các muc dích khác phuc vu cho hoat dông vân hành tô chúc,
"Có, vui lòng cung câp thông tin bô sung theo mâu biêu cúa VPBank.",
Khác;,
"Thóa thuân pháp lý bao gôm các thoa thuân duoc thiêt lâp bang văn bån giûa tô chúc và cá nhân trong và ngoài nuóc vê uy thác, uy quyên dôi vói viêc quån lý và su dung tiên, tài sån.",
Chi thi dãc biêt (nêu có):,
Dia chi:,
"Giay dê nghi kiêm Hop dông này duoc lâp thành 01 (môt) bån gôc, Khách hàng dê nghi VPBank giû 01 (môt) bån gôc và gúri cho Khách hang 01 (môt) bån sao.",
Email:,
Email:,
"Đăng ký nguòi giao nhân Hop dông, văn bån, chúng tù Khách hàng giao dich vói VPBank là can bô duoc chi dinh (i) theo các văn bån (Giay giói thiêu/Thông báo/Văn bån úy quyên...) và (ii) cán bô duoc dăng ký nhu duói:",
"Giay dê nghi kiêm Hop dông này duoc lâp thành 02 (hai) bån gôc, VPBank giû 01 (môt) bån gôc và gúri cho Khách hàng 01 (môt) bån gôc.",
2.1,
Ngày cap:,
Ho và tên:,
Chúc vu:,
Noi câp,
Noi câp,
Dien thoai:,
Sô CMND/Hô chiéu/The CCCD:,
Ho và tên:,
1.,
Ngày câp:,
Dien thoai:,
Chúc vu:,
Dia chi:,
So CMND/H₀ chiéu/The CCCD:,
2.2,
To chúc phi tài chính là Nguròi Hoa Ky xác dinh,
Tô chúc phi tài chính nuóc ngoài bi dông chông dôi.,
To chúc phi tài chính chông dôi là nguòi Hoa Ky,
Tô chúc phi tài chính chông dôi có dâu hiêu Hoa Ky (Chi áp dung cho Khách hàng mo CIF truóc,
To chúc phi tài chính nuóc ngoài chu dông,
VND,
Tô chúc phi tài chính chông dôi không có dau hiêu Hoa Ký (Chi áp dung cho Khách hàng mo CIF truóc 02/4/2016),
To chúc phi tài chính nuóc ngoài bi dông có cá nhân có quyên kiêm soát là nguòi Hoa Ky,
Tô chúc phi tài chính là Nguròi Hoa Ky,
Mã Khách hàng (CIF):,
Diên thoai:,
Tô chúc phi tài chính nuóc ngoài bi dông không có cá nhân có quyên kiêm soát là nguòi Hoa Ky,
USD,
Dia chi:,
Dông tiên khác/other:,
Fax:,
năm,
ngày,
tháng,
ngày,","
Chuyên viên Dich vu Khách hàng,(Ky và ghi rõ ho tên)
tháng,
năm,
Diên thoai:,
Sô CMND/HC/The CCCD:,
Noi cap:,
Mã sô thué:,
Ngày hêt han:,
Chúrc vu:,
Email:,
Có ít nhât môt chû ký thuôc Nhóm chû ký thú nhât cua Chu tài khoån và môt chû ký thuôc Nhóm chû ký thú ba (trong truong hop tô chúc không bat buôc phài bô trí Ké toán truong/phu trách kê toán theo quy dinh cúa pháp luât); hoãc,
Cu trú,
Ho và tên:,
Noi cap:,
Quoc tich:,
Dia chi thuong trú/cu trú Ó nuóc ngoài:,
Ngày cap:,
Nam,
Sô thi thuc:,
Noi O' hiên tai/ dang ký cu trú tai VN:,
Ngày sinh:,
Nghê nghiep:,
Không cu trú,
Có ít nhât môt chû ký thuôc Nhóm chû ký thú nhât cua Chu tài khoån và môt chû ký thuôc Nhóm chû ký thú hai cúa Ké toán truong/Phu trách kê toán/Nguòi duoc uy quyên boi Ké toán truðng/phu trách kê toán và môt chû ký thuôc Nhóm chû ký thú ba; hoãc,
