Page Number,Type,Text,Confidence Score % (Line)
1,LINE,VPBank,99.1%
1,LINE,Hôi So chính,79.79%
1,LINE,"Só 89 Láng Ha, Dông Da, Hà Nôi",87.29%
1,LINE,Ngân Hang Viet Nam Thjnh Vurong,80.46%
1,LINE,DT: (84.4) 39288869 Fax: (84.4) 39288867,98.6%
1,LINE,Swift: VPBKVNVX Website:www.vpb.com.vn,94.95%
1,LINE,VPBCORPAO,91.54%
1,LINE,GIÁY DÈ NGH! KIÊM HQP ĐÒNG MÓ VÀ SÚ DUNG TÀI KHOAN THANH TOÁN¹,70.77%
1,LINE,(Áp dung cho Khách hàng tô chúc,95.39%
1,LINE,Só:,73.97%
1,LINE,Khách hàng là tô chúc mô và sú dung,86.81%
1,LINE,TKTT thông qua Chi nhánh/Văn phòng,94.47%
1,LINE,dai diên cúa Doanh nghiêp,83.4%
1,LINE,Kính gúri: Ngân hàng TMCP Viêt Nam Thinh Vurong (VPBank) - Chi nhánh,91.61%
1,LINE,A- PHÂN DÀNH CHO KHÁCH HÀNG:,86.8%
1,LINE,I. TÊN CHU TÀI KHOAN (IN HOA),83.07%
1,LINE,Tên tiêng Viêt: [Tên Khách hàng]²,87.86%
1,LINE,[Tên Chi nhánh/VPDD]³:,82.42%
1,LINE,Tên tiêng nuóc ngoài: [Tên Khách hàng]⁴,95.11%
1,LINE,[Tên Chi nhánh/VPDD]⁵:,79.21%
1,LINE,Tên viêt tat: [Tên Khách hàng]⁶,84.98%
1,LINE,[Tên Chi nhánh/VPD]:⁷,85.76%
1,LINE,1. THÔNG TIN TÔ CHÚC CHU TÀI KHOÅN:,81.62%
1,LINE,Só hô SO (CIF) nêu có:,83.54%
1,LINE,ĐKDN/DKKD/QDTL:,58.68%
1,LINE,ngày dăng ký /thành lâp:,86.58%
1,LINE,Noi câp:,95.58%
1,LINE,", dang ký thay dôi lân",89.34%
1,LINE,ngày,94.75%
1,LINE,Quóc gia dang ký/thành lâp:,76.27%
1,LINE,Mã só,75.46%
1,LINE,thué:,89.12%
1,LINE,Tinh trang cu trú:,94.91%
1,LINE,Cu trú,98.19%
1,LINE,Không cu trú,94.33%
1,LINE,Dia chi tru so chính:,91.06%
1,LINE,Dia chi giao dich:,97.14%
1,LINE,Diên thoai cô dinh:,89.53%
1,LINE,Fax:,99.93%
1,LINE,Website:,99.92%
1,LINE,Diên thoai di dông:,92.04%
1,LINE,Email:,99.88%
1,LINE,(su dung dê nhân các thông báo tù VPBank),92.31%
1,LINE,Lînh vuc hoat dông kinh doanh:,89.41%
1,LINE,Loai hình tô chúc:,88.56%
1,LINE,Công ty TNHH,97.23%
1,LINE,Công ty Co phân,75.96%
1,LINE,Khác:,99.45%
1,LINE,Công ty Hop danh,98.29%
1,LINE,Doanh nghiep Nhà nuóc,90.55%
1,LINE,"(*) Dôi vói Khách hàng (KH) thuôc phân khúc SME dè nghi cung câp thêm các thông tin dwói, KH phân",94.67%
1,LINE,khúc khác không yêu câu cung câp:,92.17%
1,LINE,Doanh thu năm truóc (ty dong):,87.39%
1,LINE,≤3,87.96%
1,LINE,Trên 10 20,98.78%
1,LINE,Trên 30 50,98.66%
1,LINE,Trên 100 200,98.78%
1,LINE,Trên 300 400,98.72%
1,LINE,1 Don vi luu ý doc ky huóng dan sú dung mâu,81.57%
1,LINE,2 Diên tên Công ty/pháp nhân me,94.76%
1,LINE,3 Diên tên CN/VPDD,90.58%
1,LINE,4 Diên tên Công ty/pháp nhân me,95.41%
1,LINE,5 Diên tên CN/VPDD,91.52%
1,LINE,6 Diên tên Công ty/pháp nhân me,94.78%
1,LINE,7 Diên tên CN/VPDD,86.57%
1,LINE,MB01D.QF-GDTC/62,26.67%
1,LINE,1,96.78%
2,LINE,Trên 3 10,97.2%
2,LINE,Trên 20 30,97.49%
2,LINE,Trên 50 100,98.3%
2,LINE,Trên 200 300,97.79%
2,LINE,400,99.79%
2,LINE,Tông nguôn vôn (ty dong):,74.23%
2,LINE,< 03,90.77%
2,LINE,Trên 3 20,98.01%
2,LINE,Trên 20 50,97.14%
2,LINE,Trên 50 100,97.5%
2,LINE,100,99.77%
2,LINE,Só luong lao dong:,83.53%
2,LINE,Tù múc 10 nguòi trô xuong,85.82%
2,LINE,Trên 10 nguòi,97.2%
2,LINE,Sô luong lao dông tham gia BHXH bình quân năm (nguòi):,90.59%
2,LINE,≤ 10,77.2%
2,LINE,Trên 10 50,98.51%
2,LINE,Trên 50 100,98.57%
2,LINE,Trên 100 200,98.22%
2,LINE,200,99.26%
2,LINE,"Khách hàng duoc so hûu boi Phu nû, cu thê:",80.96%
2,LINE,(WOS1) Khách hàng có ít nhât 51% sô vôn góp/ cô phân so hûu boi phu nû,85.13%
2,LINE,(WOS2) Khách hàng có ít nhât 20% dên duói 51% sô vôn góp/ cô phân so hûu boi phu nû và có,87.69%
2,LINE,ít nhât 01 phu nû là Giám dôc/Tông Giám dôc dong thòi có ít nhât 30% phu nû là thành viên trong,91.58%
2,LINE,Hôi dong Quan tri/ Hôi dong thành viên.,81.76%
2,LINE,MOS Khách hàng không duoc so hûu boi phu nû,82.26%
2,LINE,2. ĐĂNG KÝ THÔNG TIN CHI NHÁNH/VĂN PHÒNG DAI DIÊN DO'N V! SÚ DUNG TÀI,80.07%
2,LINE,KHOÅN:,59.92%
2,LINE,ĐKDN/DKKD/QDTL:,73.23%
2,LINE,ngày dăng ký /thành lâp,87.52%
2,LINE,Noi cap:,78.51%
2,LINE,dăng ký thay dôi lân,85.31%
2,LINE,ngày,94.83%
2,LINE,Quoc gia dăng ký/thành lâp:,81.46%
2,LINE,Mã sô thuê:,84.16%
2,LINE,Tinh trang cu trú:,96.41%
2,LINE,Cu trú,95.6%
2,LINE,Không cu trú,93.03%
2,LINE,Dia chi tru so chính:,89.68%
2,LINE,Dia chi giao dich:,98.58%
2,LINE,Diên thoai cô dinh:,86.78%
2,LINE,Fax:,99.81%
2,LINE,Website:,99.7%
2,LINE,Diên thoai di dông:,85.04%
2,LINE,Email :,94.2%
2,LINE,(sir dung dê nhân,90.3%
2,LINE,các thông báo tù VPBank),97.29%
2,LINE,Lînh vuc hoat dông kinh doanh:,87.69%
2,LINE,"II. ĐĂNG KÝ THÔNG TIN DAI DIÊN THEO PHÁP LUÂT, GIÁM ĐÓC/TRUÖNG CHI",84.68%
2,LINE,NHÁNH/VĂN PHÒNG DAI DIÊN; THONG TIN DAI DIÊN THEO UY QUYÈN CÚA CHU TÀI,78.34%
2,LINE,KHOÄN VÀ ĐĂNG KÝ MÃU CHŪ KÝ SÚ DUNG TÀI KHOÅN*,70.23%
2,LINE,"Luu y: Thông tin só thi thuc nhâp cånh, ngày hêt han, noi cap; Dia chi cu' trú tai nuóc ngoài áp dung dói vói Nguòi",89.66%
2,LINE,nuóc ngoài/Nguòi không quoc tich/Nguòi có tù 2 quôc tich tró lên.,86.38%
2,LINE,1. THÔNG TIN DAI DIÊN THEO PHÁP LUAT,90.51%
2,LINE,MÃU CHŪ KÝ 1,68.71%
2,LINE,MÃU CHŪ KY 2,68.72%
2,LINE,Ho và tên:,86.53%
2,LINE,Ngày sinh:,98.66%
2,LINE,Nam,99.89%
2,LINE,Nû,65.96%
2,LINE,Nghê nghiep:,82.83%
2,LINE,Chúc vu:,81.82%
2,LINE,Quoc tich:,81.81%
2,LINE,Sô CMND/HC/Thé CCCD:,79.85%
2,LINE,Ngày câp:,82.72%
2,LINE,Noi câp:,86.24%
2,LINE,Mã sô thuê:,92.12%
2,LINE,Diên thoai:,81.72%
2,LINE,Email:,99.84%
2,LINE,Dia chi thuòng trú/cu trú Ó nuóc ngoài:,83.83%
2,LINE,Noi O hiên tai/ dang ký cu trú tai VN:,84.12%
2,LINE,Tình trang cu trú:,90.61%
2,LINE,Cu trú,97.72%
2,LINE,Không cu trú,97.41%
2,LINE,Sô thi thuc:,84.88%
2,LINE,Noi câp:,79.2%
2,LINE,Ngày hêt han:,93.12%
2,LINE,2. THONG TIN GIÁM ĐÓC/TRUĆNG CHI NHÁNH/VĂN,74.58%
2,LINE,MÃU CHŪ KÝ 1,72.67%
2,LINE,MÃU CHŪ KÝ 2,73.93%
2,LINE,PHÒNG DAI DIÊN,88.73%
2,LINE,MB01D.QD-GDTC/62,83.88%
2,LINE,2,98.64%
3,LINE,H₀ và tên:,82.44%
3,LINE,Ngày sinh:,98.5%
3,LINE,Nam,99.89%
3,LINE,Nû,64.63%
3,LINE,Nghê nghiep:,83.93%
3,LINE,Chúc vu:,81.67%
3,LINE,Quoc tich:,79.85%
3,LINE,Sô CMND/HC/Thé CCCD:,95.82%
3,LINE,Ngày câp:,84.38%
3,LINE,Noi cap:,84.63%
3,LINE,Mã sô thuê:,89.56%
3,LINE,Diên thoai:,81.67%
3,LINE,Email:,99.95%
3,LINE,Dia chi thuong trú/cu trú O' nuóc ngoài:,84.81%
3,LINE,Noi Ó hiên tai/ dăng ký cu trú tai VN:,85.96%
3,LINE,Tinh trang cu trú:,99.05%
3,LINE,Cu trú,99.26%
3,LINE,Không cu trú,93.4%
3,LINE,Sô thi thuc:,88.9%
3,LINE,Noi cap:,79.99%
3,LINE,Ngày hêt han:,96.61%
3,LINE,"3. THÔNG TIN DAI DIÊN THEO PHÁP LUÂT, DAI DIÊN",86.97%
3,LINE,THEO UY QUYÈN CUA CHU TÀI KHOAN VÀ DĂNG,80.89%
3,LINE,NHÓM CHŪ KÝ THÚ NHAT,74.44%
