Page Number,Type,Text,Confidence Score % (Line)
1,LINE,VPBank®,76.38%
1,LINE,powered by aws,99.96%
1,LINE,VPBank Technology Hackathon 2025,99.97%
1,LINE,General Brief,99.98%
1,LINE,Please fill up this table and use this document as a template to write our proposal.,99.66%
1,LINE,Challenge Statement,99.98%
1,LINE,Hack Challenge 4: Al-Powered Banking Process Redesign,99.1%
1,LINE,Team Name,99.99%
1,LINE,Nhóm 247 (Update to SoftAI),94.13%
1,LINE,Team Members,100.0%
1,LINE,Full Name,99.96%
1,LINE,Role,100.0%
1,LINE,Email Address,99.97%
1,LINE,School Name,99.95%
1,LINE,Faculty / Area,86.18%
1,LINE,Linkedln,86.09%
1,LINE,Profile,99.95%
1,LINE,(if applicable),99.64%
1,LINE,of Study,99.99%
1,LINE,URL,100.0%
1,LINE,Nguyên,73.15%
1,LINE,Vãn,49.97%
1,LINE,Team lead,99.97%
1,LINE,nvantu2305@gmail.,99.61%
1,LINE,University,100.0%
1,LINE,of,99.97%
1,LINE,"Science,",99.8%
1,LINE,Information,99.76%
1,LINE,https://www.linkedin.com/i,77.68%
1,LINE,Tú,99.61%
1,LINE,+ AI dev,92.75%
1,LINE,com,99.54%
1,LINE,VNUHCM,99.92%
1,LINE,Technology,100.0%
1,LINE,n/nguyen-van-tu/,99.28%
1,LINE,Duong,33.27%
1,LINE,Trung,100.0%
1,LINE,Backend +,99.78%
1,LINE,trungnghia.24904@,96.85%
1,LINE,University,100.0%
1,LINE,of,99.99%
1,LINE,"Science,",99.84%
1,LINE,Information,99.76%
1,LINE,https://www.linkedin.com/i,93.1%
1,LINE,Nghîa,70.49%
1,LINE,AI dev,86.63%
1,LINE,gmail.com,99.69%
1,LINE,VNUHCM,99.93%
1,LINE,Technology,100.0%
1,LINE,n/nghia-zun/,99.79%
1,LINE,Pham,99.88%
1,LINE,Thành,85.36%
1,LINE,Frontend,99.97%
1,LINE,ptnhanit230104@g,86.1%
1,LINE,University,100.0%
1,LINE,of,99.99%
1,LINE,"Science,",99.8%
1,LINE,Information,99.8%
1,LINE,https://www.linkedin.com/i,77.33%
1,LINE,Nhân,95.75%
1,LINE,developer,99.99%
1,LINE,mail.com,99.76%
1,LINE,VNUHCM,99.93%
1,LINE,Technology,100.0%
1,LINE,n/nhan-pham-53a891323/,98.65%
1,LINE,Lu'o'ng Xuân,91.96%
1,LINE,DevOps +,99.66%
1,LINE,Ixthanh235@gmail.c,79.63%
1,LINE,University,100.0%
1,LINE,of,99.97%
1,LINE,"Science,",99.84%
1,LINE,Information,99.76%
1,LINE,https://www.linkedin.com/i,73.03%
1,LINE,Thanh,99.95%
1,LINE,Architecture,99.55%
